JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus,Category
Graphic Designer,Female,55,2,College,Administration,3,111502,4413,Art
Graphic Designer,Female,38,1,High School,Administration,4,111041,3727,Art
Graphic Designer,Female,47,1,High School,Operations,5,108731,4793,Art
Graphic Designer,Male,44,1,Masters,Engineering,5,107818,5281,Art
Graphic Designer,Male,53,2,High School,Operations,4,107065,3652,Art
Graphic Designer,Male,39,2,Masters,Operations,5,106883,5831,Art
Graphic Designer,Female,63,2,College,Operations,4,106204,4534,Art
Graphic Designer,Male,61,4,Masters,Engineering,2,105632,6394,Art
Graphic Designer,Female,37,2,Masters,Management,3,104082,5477,Art
Graphic Designer,Male,45,2,Masters,Management,2,101273,3817,Art
Graphic Designer,Male,54,3,High School,Management,3,100160,5562,Art
Graphic Designer,Female,34,1,College,Management,4,99942,5352,Art
Graphic Designer,Male,20,2,Masters,Engineering,5,99543,6111,Art
Graphic Designer,Male,60,4,Masters,Engineering,1,97240,5412,Art
Graphic Designer,Male,58,2,Masters,Operations,1,96609,3044,Art
Graphic Designer,Female,49,1,High School,Administration,4,96232,3697,Art
Graphic Designer,Male,23,1,PhD,Management,5,91504,5136,Art
Graphic Designer,Female,61,1,Masters,Engineering,1,91030,3318,Art
Graphic Designer,Female,44,1,College,Sales,3,90474,3530,Art
Graphic Designer,Male,50,3,Masters,Management,1,84803,5406,Art
Graphic Designer,Male,43,2,PhD,Management,2,82057,5268,Art
Graphic Designer,Female,63,1,College,Administration,2,81545,3418,Art
Graphic Designer,Female,43,1,PhD,Engineering,1,80635,4322,Art
Graphic Designer,Female,50,3,Masters,Administration,1,76103,5173,Art
Graphic Designer,Female,34,1,PhD,Operations,3,75316,5861,Art
Graphic Designer,Female,45,1,High School,Management,3,75017,5576,Art
Graphic Designer,Male,29,1,Masters,Operations,3,73142,4712,Art
Graphic Designer,Male,22,2,High School,Sales,3,72422,5697,Art
Graphic Designer,Female,44,1,Masters,Administration,2,72248,3634,Art
Graphic Designer,Male,30,2,Masters,Management,4,70559,6497,Art
Graphic Designer,Male,29,3,PhD,Operations,2,70311,6235,Art
Graphic Designer,Male,22,2,High School,Sales,3,69734,5383,Art
Graphic Designer,Male,44,3,PhD,Sales,1,66611,5924,Art
Graphic Designer,Female,33,1,High School,Sales,1,63914,3521,Art
Graphic Designer,Female,20,1,Masters,Operations,4,55569,5236,Art
Graphic Designer,Female,18,2,College,Administration,1,41603,6092,Art
Graphic Designer,Male,30,1,College,Operations,2,36642,4388,Art
IT,Male,65,4,Masters,Sales,5,165229,6506,Tech
IT,Female,44,2,PhD,Operations,5,132267,5679,Tech
IT,Female,44,1,High School,Sales,5,131411,3084,Tech
IT,Female,62,3,College,Sales,4,126370,6032,Tech
IT,Female,58,2,High School,Sales,4,124847,3100,Tech
IT,Male,62,3,Masters,Engineering,4,118314,4892,Tech
IT,Female,45,2,PhD,Sales,4,113283,5404,Tech
IT,Female,54,1,High School,Engineering,5,112502,3988,Tech
IT,Female,53,1,High School,Administration,2,112169,2763,Tech
IT,Female,26,1,PhD,Sales,5,111770,5345,Tech
IT,Female,59,1,College,Sales,3,110627,2041,Tech
IT,Male,36,1,High School,Sales,4,109832,3528,Tech
IT,Male,57,3,High School,Sales,3,109645,5472,Tech
IT,Female,65,1,Masters,Administration,1,106945,2041,Tech
IT,Male,33,2,Masters,Engineering,5,106584,5426,Tech
IT,Male,62,1,PhD,Management,2,105771,2978,Tech
IT,Female,28,1,PhD,Sales,5,105598,5380,Tech
IT,Female,60,3,Masters,Management,2,104589,4536,Tech
IT,Female,47,2,PhD,Administration,3,103416,5536,Tech
IT,Female,56,3,Masters,Management,2,101791,6083,Tech
IT,Male,50,2,Masters,Management,3,101050,3879,Tech
IT,Female,47,1,PhD,Operations,3,99472,3943,Tech
IT,Male,59,3,Masters,Sales,2,98995,4596,Tech
IT,Male,35,1,College,Management,4,98423,3879,Tech
IT,Female,54,2,Masters,Administration,3,96982,4750,Tech
IT,Male,52,2,College,Administration,5,93802,5404,Tech
IT,Male,31,1,Masters,Sales,2,93358,3223,Tech
IT,Male,39,3,High School,Engineering,4,93335,5243,Tech
IT,Male,64,1,Masters,Sales,1,92950,2125,Tech
IT,Female,59,1,PhD,Engineering,3,92257,3908,Tech
IT,Male,55,2,Masters,Operations,1,91447,3196,Tech
IT,Male,34,3,College,Sales,4,91066,6257,Tech
IT,Male,51,1,High School,Engineering,3,89272,2600,Tech
IT,Male,50,1,College,Operations,3,85648,2728,Tech
IT,Male,33,2,Masters,Sales,1,84878,5009,Tech
IT,Female,26,2,College,Sales,3,81325,5647,Tech
IT,Male,40,3,College,Administration,3,77881,5569,Tech
IT,Female,49,4,College,Engineering,1,75811,5520,Tech
IT,Female,42,3,High School,Engineering,2,70157,6016,Tech
IT,Male,43,3,College,Management,1,67323,4680,Tech
IT,Male,36,3,Masters,Engineering,2,65225,6462,Tech
IT,Female,57,2,High School,Administration,1,64807,3887,Tech
IT,Female,48,3,High School,Management,1,61081,6337,Tech
IT,Female,32,2,High School,Engineering,1,59377,5236,Tech
IT,Male,27,1,High School,Management,3,57500,3665,Tech
IT,Female,37,3,High School,Sales,2,56656,5914,Tech
IT,Female,27,1,Masters,Administration,2,55560,4449,Tech
IT,Male,20,2,PhD,Management,1,49622,5452,Tech
IT,Male,31,1,College,Operations,1,49449,4149,Tech
IT,Female,18,2,Masters,Sales,1,45747,4890,Tech
IT,Female,28,1,High School,Management,1,41151,4296,Tech
Manager,Male,58,1,PhD,Management,4,179726,4284,Business
Manager,Male,55,1,High School,Management,5,163208,4095,Business
Manager,Male,48,2,PhD,Engineering,4,157169,5798,Business
Manager,Male,47,1,Masters,Engineering,4,155826,4964,Business
Manager,Male,55,2,College,Management,5,152710,6107,Business
Manager,Male,43,1,PhD,Management,4,152625,4702,Business
Manager,Male,56,2,PhD,Administration,4,152081,4621,Business
Manager,Male,57,3,PhD,Operations,5,150914,5982,Business
Manager,Female,45,1,High School,Engineering,5,149893,5120,Business
Manager,Male,56,3,Masters,Engineering,4,149771,5495,Business
Manager,Female,62,4,Masters,Administration,3,146008,6235,Business
Manager,Female,57,1,Masters,Operations,3,145095,3889,Business
Manager,Female,45,2,High School,Management,5,144146,6340,Business
Manager,Male,57,4,Masters,Administration,4,143189,6321,Business
Manager,Male,30,1,High School,Sales,5,138163,3415,Business
Manager,Male,61,2,College,Sales,1,136836,4070,Business
Manager,Female,59,2,High School,Management,2,136215,3603,Business
Manager,Female,55,1,High School,Administration,3,135638,2824,Business
Manager,Male,38,2,Masters,Management,3,135106,5066,Business
Manager,Male,36,2,Masters,Sales,3,134450,5214,Business
Manager,Male,59,3,College,Engineering,3,133910,5795,Business
Manager,Male,60,2,College,Sales,1,131980,3841,Business
Manager,Male,63,5,Masters,Operations,1,130093,6416,Business
Manager,Male,59,4,College,Engineering,2,127013,6124,Business
Manager,Male,42,3,College,Sales,4,125339,6019,Business
Manager,Male,30,1,PhD,Engineering,4,125164,5888,Business
Manager,Male,40,2,College,Administration,2,124891,5436,Business
Manager,Male,59,2,PhD,Administration,1,124782,4618,Business
Manager,Male,41,1,College,Administration,5,123153,4111,Business
Manager,Male,53,4,College,Sales,2,121506,6122,Business
Manager,Male,37,3,Masters,Management,1,121151,5934,Business
Manager,Male,55,1,High School,Administration,1,120574,2683,Business
Manager,Female,42,1,High School,Management,2,119893,3721,Business
Manager,Male,41,1,Masters,Sales,2,119794,3712,Business
Manager,Female,25,1,Masters,Management,5,119033,6381,Business
Manager,Male,62,4,PhD,Engineering,1,117648,4765,Business
Manager,Male,32,3,High School,Operations,4,117629,6291,Business
Manager,Male,36,1,High School,Operations,2,115742,3661,Business
Manager,Male,37,1,PhD,Administration,3,115604,4098,Business
Manager,Male,18,1,Masters,Management,5,115567,4775,Business
Manager,Female,32,2,PhD,Management,2,115383,5878,Business
Manager,Male,52,2,High School,Operations,2,114943,3438,Business
Manager,Male,21,1,College,Management,2,114621,3927,Business
Manager,Male,60,3,High School,Management,2,111896,5597,Business
Manager,Male,52,1,High School,Management,1,110078,1703,Business
Manager,Female,47,1,High School,Management,3,106916,3959,Business
Manager,Male,48,3,PhD,Operations,1,106056,4161,Business
Manager,Male,28,3,College,Sales,2,105795,6179,Business
Manager,Female,28,1,High School,Engineering,4,104329,4962,Business
Manager,Male,22,1,College,Management,2,103156,6277,Business
Manager,Male,37,2,PhD,Operations,1,100819,5390,Business
Manager,Male,20,2,Masters,Operations,3,100183,6363,Business
Manager,Male,22,2,Masters,Operations,4,90736,6219,Business
Manager,Male,31,2,College,Operations,1,80259,4791,Business
Marketing Associate,Female,62,3,PhD,Operations,5,123242,5453,Business
Marketing Associate,Male,40,2,PhD,Sales,5,116834,5516,Business
Marketing Associate,Female,60,1,College,Management,4,114906,4766,Business
Marketing Associate,Female,53,1,Masters,Management,4,112489,4237,Business
Marketing Associate,Male,42,2,Masters,Management,5,110636,5239,Business
Marketing Associate,Female,58,3,Masters,Operations,5,109931,5878,Business
Marketing Associate,Female,41,1,PhD,Management,5,108587,4275,Business
Marketing Associate,Female,64,1,College,Administration,5,107572,3107,Business
Marketing Associate,Female,56,2,High School,Operations,5,107370,4916,Business
Marketing Associate,Female,65,3,Masters,Administration,5,106315,5618,Business
Marketing Associate,Female,40,1,Masters,Engineering,4,100415,3871,Business
Marketing Associate,Female,64,4,College,Sales,5,100316,6010,Business
Marketing Associate,Female,56,2,Masters,Sales,4,99543,4442,Business
Marketing Associate,Female,59,1,High School,Operations,3,98796,3042,Business
Marketing Associate,Female,65,3,High School,Engineering,3,98575,5410,Business
Marketing Associate,Female,52,1,PhD,Sales,3,97696,3888,Business
Marketing Associate,Female,56,2,High School,Sales,3,95995,4045,Business
Marketing Associate,Female,52,3,High School,Sales,3,94763,5668,Business
Marketing Associate,Female,50,3,Masters,Sales,5,93805,6044,Business
Marketing Associate,Male,47,2,PhD,Sales,3,93054,4243,Business
Marketing Associate,Female,59,1,Masters,Sales,3,93018,2730,Business
Marketing Associate,Male,49,3,High School,Administration,4,92797,5405,Business
Marketing Associate,Female,44,1,High School,Engineering,3,91300,3680,Business
Marketing Associate,Female,56,2,High School,Engineering,3,88820,4289,Business
Marketing Associate,Female,42,2,College,Administration,5,88365,4668,Business
Marketing Associate,Female,48,1,College,Operations,5,86563,4415,Business
Marketing Associate,Female,48,2,High School,Administration,4,86538,4212,Business
Marketing Associate,Female,46,3,College,Management,3,86241,5814,Business
Marketing Associate,Female,64,1,PhD,Administration,2,85253,2777,Business
Marketing Associate,Female,56,2,High School,Sales,3,81661,4965,Business
Marketing Associate,Female,33,1,High School,Management,5,81249,4845,Business
Marketing Associate,Female,65,1,Masters,Administration,1,80789,1884,Business
Marketing Associate,Female,51,2,High School,Management,2,79237,4453,Business
Marketing Associate,Female,62,3,Masters,Engineering,2,77742,5430,Business
Marketing Associate,Female,62,4,College,Sales,1,77584,4524,Business
Marketing Associate,Female,36,3,Masters,Sales,3,77223,5272,Business
Marketing Associate,Female,38,1,PhD,Engineering,2,76726,4204,Business
Marketing Associate,Female,18,2,Masters,Management,5,75294,6496,Business
Marketing Associate,Female,28,1,Masters,Engineering,5,73685,4439,Business
Marketing Associate,Female,32,2,College,Sales,3,73404,5038,Business
Marketing Associate,Female,55,4,High School,Administration,2,72030,5569,Business
Marketing Associate,Female,38,2,High School,Management,5,71772,5764,Business
Marketing Associate,Female,55,2,College,Sales,2,69928,4811,Business
Marketing Associate,Female,44,2,PhD,Management,2,68364,4076,Business
Marketing Associate,Female,53,1,Masters,Operations,1,66028,3745,Business
Marketing Associate,Female,55,3,High School,Administration,1,63327,4066,Business
Marketing Associate,Female,26,2,College,Operations,1,62866,5114,Business
Marketing Associate,Female,59,1,College,Engineering,1,62738,2656,Business
Marketing Associate,Female,61,1,High School,Administration,1,62644,3270,Business
Marketing Associate,Male,51,2,PhD,Sales,1,62600,4300,Business
Marketing Associate,Female,58,2,High School,Operations,1,60271,3927,Business
Marketing Associate,Female,45,2,High School,Management,2,59006,5876,Business
Marketing Associate,Female,26,2,High School,Operations,3,57672,6476,Business
Marketing Associate,Female,23,1,College,Sales,2,55885,3795,Business
Marketing Associate,Female,46,1,College,Administration,1,54945,2991,Business
Marketing Associate,Female,38,1,PhD,Engineering,1,53839,3270,Business
Marketing Associate,Male,33,3,PhD,Administration,2,53220,5153,Business
Marketing Associate,Female,31,1,High School,Sales,3,52578,5538,Business
Marketing Associate,Female,23,1,High School,Sales,2,47739,4829,Business
Marketing Associate,Female,25,1,High School,Sales,1,39741,4981,Business
Marketing Associate,Female,34,1,College,Engineering,2,38855,4503,Business
Marketing Associate,Female,20,2,College,Administration,2,38613,6079,Business
Marketing Associate,Female,30,3,Masters,Administration,1,38451,5562,Business
Marketing Associate,Female,26,1,High School,Management,1,36585,4373,Business
Sales Associate,Female,65,2,PhD,Sales,5,142505,4214,Business
Sales Associate,Male,63,2,Masters,Engineering,3,136209,3910,Business
Sales Associate,Female,60,2,PhD,Engineering,5,130417,4694,Business
Sales Associate,Male,62,3,College,Management,3,129620,5608,Business
Sales Associate,Male,50,2,Masters,Engineering,5,124470,5454,Business
Sales Associate,Male,64,3,PhD,Sales,2,121589,5133,Business
Sales Associate,Male,64,2,High School,Management,3,120579,4687,Business
Sales Associate,Female,57,2,High School,Management,4,117202,5068,Business
Sales Associate,Female,47,1,PhD,Engineering,4,116642,4621,Business
Sales Associate,Male,57,1,PhD,Administration,5,113031,3409,Business
Sales Associate,Male,60,1,College,Operations,3,112604,3366,Business
Sales Associate,Male,51,3,PhD,Operations,4,110746,5947,Business
Sales Associate,Male,60,3,High School,Administration,3,106798,5201,Business
Sales Associate,Female,50,1,Masters,Sales,3,106279,3892,Business
Sales Associate,Female,47,3,College,Administration,4,105410,6363,Business
Sales Associate,Female,34,1,High School,Management,5,102745,6303,Business
Sales Associate,Male,62,1,Masters,Administration,2,102593,1823,Business
Sales Associate,Female,57,1,Masters,Operations,3,101423,3641,Business
Sales Associate,Male,49,2,Masters,Operations,2,101140,4851,Business
Sales Associate,Male,53,2,Masters,Management,5,101133,4700,Business
Sales Associate,Male,33,3,Masters,Operations,5,100463,6332,Business
Sales Associate,Male,51,3,High School,Management,2,98499,6274,Business
Sales Associate,Female,61,2,College,Sales,1,96900,4157,Business
Sales Associate,Male,51,2,High School,Engineering,1,96023,4148,Business
Sales Associate,Male,46,2,College,Management,2,95505,4549,Business
Sales Associate,Female,52,1,High School,Sales,3,94154,3964,Business
Sales Associate,Male,54,1,College,Administration,3,92468,3242,Business
Sales Associate,Male,49,2,High School,Operations,3,91342,4516,Business
Sales Associate,Female,19,1,College,Management,4,90426,5020,Business
Sales Associate,Male,56,1,High School,Management,1,88195,2375,Business
Sales Associate,Female,32,2,PhD,Administration,2,87585,6476,Business
Sales Associate,Female,33,2,College,Engineering,4,87418,6430,Business
Sales Associate,Female,35,2,College,Management,4,87131,6356,Business
Sales Associate,Female,58,1,College,Operations,3,86795,3453,Business
Sales Associate,Female,47,3,College,Engineering,2,84935,6122,Business
Sales Associate,Male,40,2,High School,Administration,3,84592,4635,Business
Sales Associate,Female,61,2,High School,Sales,2,83308,3653,Business
Sales Associate,Female,46,2,Masters,Management,2,83095,5284,Business
Sales Associate,Male,56,1,High School,Operations,1,82164,2611,Business
Sales Associate,Female,44,2,High School,Engineering,3,81866,5183,Business
Sales Associate,Male,26,2,High School,Sales,2,78625,4073,Business
Sales Associate,Male,19,1,PhD,Management,3,75238,5308,Business
Sales Associate,Male,22,1,High School,Sales,4,70595,5234,Business
Sales Associate,Male,45,2,High School,Engineering,1,67296,4780,Business
Sales Associate,Female,24,1,High School,Administration,2,66887,5014,Business
Sales Associate,Female,27,2,College,Operations,2,66377,5803,Business
Sales Associate,Female,18,1,Masters,Engineering,1,64920,4967,Business
Sales Associate,Male,29,3,Masters,Management,2,61164,6346,Business
Sales Associate,Female,41,2,College,Sales,1,60983,5022,Business
Sales Associate,Male,18,1,Masters,Administration,3,59334,5729,Business
Sales Associate,Female,29,3,PhD,Operations,2,56745,6495,Business
Sales Associate,Male,24,1,PhD,Operations,2,51837,4472,Business
Sales Associate,Male,36,2,High School,Management,1,49553,5784,Business
Sales Associate,Male,20,3,College,Operations,1,37898,6448,Business
Software Engineer,Male,59,1,College,Sales,5,160460,2930,Tech
Software Engineer,Male,64,2,PhD,Sales,5,157277,4844,Tech
Software Engineer,Male,60,3,PhD,Management,5,145632,6439,Tech
Software Engineer,Male,64,2,PhD,Engineering,4,139068,4126,Tech
Software Engineer,Male,62,2,PhD,Engineering,3,138184,4664,Tech
Software Engineer,Male,63,3,PhD,Engineering,2,134757,5944,Tech
Software Engineer,Male,62,1,High School,Sales,3,132815,3367,Tech
Software Engineer,Male,51,2,Masters,Engineering,3,132323,4872,Tech
Software Engineer,Male,32,1,College,Engineering,5,128680,4677,Tech
Software Engineer,Male,60,1,PhD,Administration,4,127250,4263,Tech
Software Engineer,Male,47,2,Masters,Operations,4,126239,5396,Tech
Software Engineer,Male,62,1,High School,Sales,3,124660,2200,Tech
Software Engineer,Male,65,3,High School,Sales,2,122624,4165,Tech
Software Engineer,Male,55,2,PhD,Management,3,121910,4494,Tech
Software Engineer,Male,42,3,Masters,Engineering,5,121821,6499,Tech
Software Engineer,Male,40,2,Masters,Sales,1,120096,4690,Tech
Software Engineer,Male,50,3,PhD,Sales,1,119522,4650,Tech
Software Engineer,Male,62,1,High School,Management,3,119069,2788,Tech
Software Engineer,Male,51,1,College,Management,2,118282,3599,Tech
Software Engineer,Female,57,1,College,Engineering,3,117131,2324,Tech
Software Engineer,Male,30,2,Masters,Engineering,5,113122,6060,Tech
Software Engineer,Male,35,2,Masters,Management,3,110886,6228,Tech
Software Engineer,Male,64,1,Masters,Sales,1,109606,2193,Tech
Software Engineer,Male,36,1,High School,Operations,5,109136,4572,Tech
Software Engineer,Male,31,1,College,Operations,4,106503,5225,Tech
